specimen_id,sweep_number,spike_count
525011903,4,0
525011903,5,0
525011903,6,0
525011903,7,0
525011903,8,0
525011903,9,0
525011903,10,0
525011903,11,1
525011903,12,0
525011903,13,0
525011903,14,0
525011903,15,1
525011903,16,0
525011903,17,0
525011903,18,0
525011903,19,0
525011903,20,0
525011903,21,0
525011903,22,0
525011903,23,0
525011903,24,0
525011903,25,1
525011903,26,1
525011903,27,0
525011903,28,1
525011903,29,0
525011903,30,0
525011903,31,0
525011903,32,0
525011903,33,0
525011903,34,0
525011903,35,0
525011903,36,0
525011903,37,0
525011903,38,0
525011903,39,0
525011903,40,5
525011903,41,10
525011903,42,13
525011903,43,16
525011903,44,18
525011903,45,21
525011903,46,23
525011903,47,25
525011903,49,2
525011903,50,2
525011903,51,2
525011903,52,2
525011903,53,0
525011903,54,0
525011903,55,0
525011903,56,0
525011903,57,0
525011903,58,0
525011903,59,0
525011903,60,0
525011903,62,0
525011903,63,0
525011903,65,2
525011903,66,1
525011903,67,1
525011903,68,1
525011903,69,8
525011903,70,7
525011903,71,8
525011903,72,7
525011903,73,13
525011903,74,12
525011903,75,12
525011903,76,12
525011903,77,0
525011903,78,0
525011903,79,0
525011903,80,0
525011903,81,0
525011903,82,0
525011903,83,0
525011903,84,0
525011903,85,0
525011903,86,0
525011903,87,0
525011903,88,0
525011903,90,0
525011903,91,0
525011903,92,0
525011903,93,0
525011903,94,0
525011903,95,0
525011903,96,0
525011903,97,0
525011903,98,0
525011903,99,0
525011903,100,0
525011903,101,0
525011903,102,0
525011903,103,0
525011903,104,0
525011903,105,0
525011903,106,0
525011903,107,0
525011903,108,0
525011903,109,0
525011903,110,0
525011903,111,0
525011903,112,0
525011903,115,0
528642047,4,0
528642047,5,0
528642047,6,0
528642047,7,0
528642047,8,0
528642047,9,1
528642047,10,0
528642047,11,1
528642047,12,1
528642047,13,1
528642047,14,1
528642047,15,0
528642047,16,1
528642047,17,0
528642047,18,0
528642047,19,0
528642047,20,0
528642047,24,0
528642047,25,0
528642047,26,0
528642047,27,1
528642047,30,77
528642047,31,87
528642047,32,94
528642047,33,103
528642047,35,47
528642047,36,0
528642047,47,0
537256313,4,0
537256313,5,0
537256313,6,0
537256313,7,0
537256313,8,0
537256313,9,0
537256313,10,0
537256313,11,0
537256313,12,0
537256313,13,0
537256313,14,1
537256313,15,1
537256313,16,0
537256313,17,0
537256313,18,1
537256313,19,1
537256313,21,1
537256313,22,1
537256313,23,0
537256313,25,0
537256313,26,0
537256313,28,0
537256313,29,0
537256313,30,0
537256313,31,0
537256313,32,0
537256313,33,6
537256313,34,13
537256313,35,18
537256313,36,23
537256313,37,27
537256313,38,30
537256313,39,33
537256313,40,36
537256313,41,4
537256313,42,0
537256313,43,1
537256313,44,1
537256313,45,2
537256313,46,1
537256313,47,0
537256313,48,0
537256313,49,0
537256313,50,0
537256313,51,0
537256313,52,0
537256313,53,0
537256313,56,0
537256313,57,0
537256313,60,0
519832676,4,0
519832676,5,0
519832676,6,0
519832676,7,0
519832676,8,0
519832676,9,0
519832676,10,0
519832676,11,0
519832676,12,0
519832676,13,0
519832676,14,0
519832676,15,0
519832676,16,0
519832676,17,0
519832676,18,0
519832676,19,0
519832676,20,1
519832676,21,1
519832676,22,1
519832676,23,1
519832676,24,1
519832676,25,1
519832676,26,0
519832676,30,0
519832676,31,0
519832676,32,0
519832676,33,0
519832676,34,0
519832676,35,0
519832676,37,0
519832676,38,1
519832676,39,3
519832676,40,4
519832676,41,5
519832676,42,6
519832676,43,7
519832676,75,0
569095789,4,0
569095789,5,0
569095789,6,0
569095789,7,0
569095789,8,0
569095789,9,0
569095789,10,0
569095789,11,0
569095789,12,0
569095789,13,0
569095789,14,0
569095789,15,1
569095789,16,0
569095789,17,0
569095789,18,0
569095789,19,0
569095789,20,0
569095789,21,1
569095789,22,0
569095789,23,0
569095789,24,0
569095789,25,0
569095789,28,1
569095789,35,0
569095789,36,0
569095789,38,0
569095789,39,0
569095789,40,0
569095789,41,0
569095789,42,0
569095789,43,0
569095789,44,0
569095789,45,0
569095789,46,0
569095789,47,3
569095789,49,9
569095789,50,12
569095789,74,0
576095991,6,0
576095991,7,0
576095991,8,0
576095991,9,0
576095991,10,0
576095991,11,0
576095991,12,1
576095991,13,1
576095991,14,0
576095991,16,1
576095991,19,0
576095991,21,0
576095991,22,1
576095991,25,1
576095991,27,1
576095991,28,0
576095991,30,0
576095991,31,0
576095991,34,0
576095991,35,0
576095991,36,0
576095991,37,0
576095991,38,0
576095991,41,0
576095991,42,4
576095991,43,9
576095991,44,14
576095991,45,17
576095991,46,19
576095991,48,25
576095991,49,28
576095991,51,0
576095991,53,4
576095991,54,5
576095991,55,5
576095991,57,13
576095991,58,13
576095991,59,13
576095991,60,13
576095991,61,19
576095991,62,19
576095991,63,3
576095991,64,0
576095991,65,0
576095991,66,0
576095991,67,0
576095991,68,0
576095991,69,0
576095991,70,0
576095991,71,0
576095991,72,1
576095991,73,1
576095991,74,0
576095991,75,0
576095991,76,1
576095991,77,0
576095991,78,0
576095991,86,0
576095991,87,0
576095991,88,0
576095991,89,0
576095991,90,0
576095991,91,0
576095991,92,0
576095991,93,0
576095991,94,0
576095991,95,0
576095991,96,0
576095991,97,0
576095991,99,0
576095991,100,0
576095991,106,0
576095991,109,0
545608578,8,0
545608578,9,0
