specimen_id,sweep_number,stimulus_amplitude_pA,num_spikes
525011903,4,800000000000000.0,0
525011903,5,800000000000000.0,0
525011903,6,800000000000000.0,0
525011903,7,100000000000000.0,0
525011903,8,200000000000000.0,0
525011903,9,300000000000000.0,0
525011903,10,400000000000000.0,0
525011903,11,499999969482421.9,1
525011903,12,450000000000000.0,0
525011903,13,469999969482421.9,0
525011903,14,489999969482421.9,0
525011903,15,509999969482421.9,1
525011903,16,499999969482421.9,0
525011903,17,509999969482421.9,0
525011903,18,520000000000000.0,0
525011903,19,530000000000000.0,0
525011903,20,540000000000000.0,0
525011903,21,550000000000000.0,0
525011903,22,560000000000000.0,0
525011903,23,570000000000000.0,0
525011903,24,580000000000000.0,0
525011903,25,590000000000000.0,1
525011903,26,590000000000000.0,1
525011903,27,590000000000000.0,0
525011903,28,590000000000000.0,1
525011903,29,590000000000000.0,0
525011903,30,135000000000000.0,0
525011903,31,115000000000000.0,0
525011903,32,95000000000000.0,0
525011903,33,75000000000000.0,0
525011903,34,55000000000000.0,0
525011903,35,35000000000000.0,0
525011903,36,25000000000000.0,0
525011903,37,29999998092651.367,0
525011903,38,50000000000000.0,0
525011903,39,70000000000000.0,0
525011903,40,90000000000000.0,5
525011903,41,110000000000000.0,10
525011903,42,130000000000000.0,13
525011903,43,150000000000000.0,16
525011903,44,170000000000000.0,18
525011903,45,190000000000000.0,21
525011903,46,210000000000000.0,23
525011903,47,230000000000000.0,24
525011903,49,90000000000000.0,2
525011903,50,90000000000000.0,2
525011903,51,90000000000000.0,2
525011903,52,90000000000000.0,2
525011903,53,208750000000000.0,0
525011903,54,212500000000000.0,0
525011903,55,208750000000000.0,0
525011903,56,212500000000000.0,0
525011903,57,208750000000000.0,0
525011903,58,212500000000000.0,0
525011903,59,208750000000000.0,0
525011903,60,212500000000000.0,0
525011903,62,400000000000000.0,0
525011903,63,400000000000000.0,0
525011903,65,100000000000000.0,2
525011903,66,100000000000000.0,1
525011903,67,100000000000000.0,1
525011903,68,100000000000000.0,1
525011903,69,140000000000000.0,8
525011903,70,140000000000000.0,7
525011903,71,140000000000000.0,8
525011903,72,140000000000000.0,7
525011903,73,180000000000000.0,13
525011903,74,180000000000000.0,12
525011903,75,180000000000000.0,12
525011903,76,180000000000000.0,12
525011903,77,429375000000000.0,0
525011903,78,429375000000000.0,0
525011903,79,429375000000000.0,0
525011903,80,590000000000000.0,0
525011903,81,600000000000000.0,0
525011903,82,610000000000000.0,0
525011903,83,630000000000000.0,0
525011903,84,650000000000000.0,0
525011903,85,700000000000000.0,0
525011903,86,750000000000000.0,0
525011903,87,800000000000000.0,0
525011903,88,850000000000000.0,0
525011903,90,830000000000000.0,0
525011903,91,820000000000000.0,0
525011903,92,830000000000000.0,0
525011903,93,830000000000000.0,0
525011903,94,830000000000000.0,0
525011903,95,830000000000000.0,0
525011903,96,830000000000000.0,0
525011903,97,830000000000000.0,0
525011903,98,830000000000000.0,0
525011903,99,830000000000000.0,0
525011903,100,830000000000000.0,0
525011903,101,830000000000000.0,0
525011903,102,830000000000000.0,0
525011903,103,830000000000000.0,0
525011903,104,830000000000000.0,0
525011903,105,830000000000000.0,0
525011903,106,830000000000000.0,0
525011903,107,830000000000000.0,0
525011903,108,830000000000000.0,0
525011903,109,830000000000000.0,0
525011903,110,830000000000000.0,0
525011903,111,830000000000000.0,0
525011903,112,830000000000000.0,0
525011903,115,25000000000000.0,0
528642047,4,800000000000000.0,0
528642047,5,800000000000000.0,0
528642047,6,800000000000000.0,0
528642047,7,100000000000000.0,0
528642047,8,200000000000000.0,0
528642047,9,300000000000000.0,1
528642047,10,249999984741210.94,0
528642047,11,270000000000000.0,1
528642047,12,260000000000000.0,1
528642047,13,260000000000000.0,1
528642047,14,260000000000000.0,1
528642047,15,260000000000000.0,0
528642047,16,260000000000000.0,1
528642047,17,160000000000000.0,0
528642047,18,140000000000000.0,0
528642047,19,120000000000000.0,0
528642047,20,100000000000000.0,0
528642047,24,50000000000000.0,0
528642047,25,50000000000000.0,0
528642047,26,70000000000000.0,0
528642047,27,90000000000000.0,1
528642047,30,150000000000000.0,76
528642047,31,170000000000000.0,85
528642047,32,190000000000000.0,93
528642047,33,210000000000000.0,101
528642047,35,100000000000000.0,47
528642047,36,50000000000000.0,0
528642047,47,50000000000000.0,0
537256313,4,800000000000000.0,0
537256313,5,800000000000000.0,0
537256313,6,800000000000000.0,0
537256313,7,100000000000000.0,0
537256313,8,200000000000000.0,0
537256313,9,300000000000000.0,0
537256313,10,400000000000000.0,0
537256313,11,499999969482421.9,0
537256313,12,600000000000000.0,0
537256313,13,700000000000000.0,0
537256313,14,800000000000000.0,1
537256313,15,750000000000000.0,1
537256313,16,730000000000000.0,0
537256313,17,740000000000000.0,0
537256313,18,750000000000000.0,1
537256313,19,750000000000000.0,1
537256313,21,750000000000000.0,1
537256313,22,750000000000000.0,1
537256313,23,160000000000000.0,0
537256313,25,120000000000000.0,0
537256313,26,100000000000000.0,0
537256313,28,60000000000000.0,0
537256313,29,50000000000000.0,0
537256313,30,50000000000000.0,0
537256313,31,50000000000000.0,0
537256313,32,70000000000000.0,0
537256313,33,90000000000000.0,6
537256313,34,110000000000000.0,12
537256313,35,130000000000000.0,18
537256313,36,150000000000000.0,22
537256313,37,170000000000000.0,27
537256313,38,190000000000000.0,29
537256313,39,210000000000000.0,33
537256313,40,230000000000000.0,35
537256313,41,80000000000000.0,4
537256313,42,59999996185302.734,0
537256313,43,70000000000000.0,1
